City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,tondano,1.3038,124.9112,23.05,67,84,0.96,ID,1706667351
290,ducheng,23.2373,111.5317,20.64,78,95,2.08,CN,1706667351
291,prado,-17.3411,-39.2208,25.31,89,89,4.37,BR,1706667335
292,teknaf,20.8624,92.3058,17.88,47,79,1.38,BD,1706667351
293,lucapa,-8.4192,20.7447,20.11,91,100,1.06,AO,1706667351
294,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,100,1.31,RU,1706667351
295,padangsidempuan,1.3667,99.2667,25.8,80,100,1.53,ID,1706667352
296,bolobo,-2.1667,16.2333,23.91,85,100,1.52,CD,1706667352
297,dryden,49.7833,-92.7503,-0.84,93,100,5.66,CA,1706667352
298,amurzet,47.6967,131.0981,-18.74,77,99,4.46,RU,1706667352
299,barakani,-12.1356,44.4317,26.82,76,99,1.19,KM,1706667352
300,sinabang,2.4803,96.3801,27.92,78,94,1.97,ID,1706667352
301,nagqu,31.5,92.0,-11.18,48,100,0.87,CN,1706667352
302,siparia,10.1333,-61.5,24.52,88,72,4.91,TT,1706667353
303,nemuro,43.3236,145.575,-1.86,67,100,3.22,JP,1706667257
304,sokoni,-6.4333,39.55,27.44,79,99,4.83,TZ,1706667353
305,antofagasta,-23.65,-70.4,20.84,80,65,2.07,CL,1706667126
306,bandarbeyla,9.4942,50.8122,24.4,70,100,4.02,SO,1706667353
307,northam,51.0333,-4.2167,-0.19,83,46,4.14,GB,1706667353
308,sampit,-2.5333,112.95,26.9,87,97,1.03,ID,1706667353
309,fallon,39.4735,-118.7774,11.62,66,40,4.12,US,1706667106
310,fort bragg,35.139,-79.006,9.0,72,100,2.06,US,1706667353
311,plettenberg bay,-34.0527,23.3716,21.9,74,94,0.56,ZA,1706667354
312,stanley,54.868,-1.6985,4.6,87,0,4.63,GB,1706667354
313,la'ie,21.6477,-157.9253,27.98,74,22,0.89,US,1706667354
314,opuwo,-18.0607,13.84,23.09,65,99,0.43,NA,1706667354
315,ellon,57.3641,-2.0731,6.23,81,100,6.69,GB,1706667354
316,yaren,-0.5472,166.916,28.74,75,99,4.49,NR,1706667354
317,chhor,25.5167,69.7667,18.51,84,100,3.85,PK,1706667354
318,mushie,-3.0167,16.9,22.76,95,100,0.5,CD,1706667355
319,pauini,-7.7136,-66.9764,24.94,92,100,0.65,BR,1706667355
320,malango,-2.9627,119.9001,25.78,81,82,0.85,ID,1706667355
321,rouissat,31.9243,5.3502,11.04,50,0,3.09,DZ,1706667355
322,puerto deseado,-47.7503,-65.8938,21.72,43,97,8.78,AR,1706667355
323,santa cruz,-17.8,-63.1667,24.7,94,30,2.06,BO,1706667304
324,immokalee,26.4187,-81.4173,14.95,82,0,1.54,US,1706667355
325,afaahiti,-17.75,-149.2833,28.92,82,76,4.24,PF,1706667356
326,ambovombe,-25.1667,46.0833,22.89,84,75,6.28,MG,1706667356
327,lindi,-10.0,39.7167,22.58,98,100,1.01,TZ,1706667356
328,oodweyne,9.4092,45.064,18.32,76,49,2.14,SO,1706667356
329,springfield,37.2153,-93.2982,8.87,64,0,3.13,US,1706667060
330,egilsstadir,65.2653,-14.3948,-2.05,69,0,2.57,IS,1706667356
331,tome,-36.6167,-72.95,19.34,68,0,2.25,CL,1706667356
332,taroa,8.7058,171.2275,26.72,86,100,8.89,MH,1706667357
333,tianshui,34.5439,105.6897,0.56,86,100,1.34,CN,1706667357
334,cidreira,-30.1811,-50.2056,20.62,88,9,3.21,BR,1706667357
335,puerto san jose,13.9256,-90.8244,25.75,68,6,2.35,GT,1706667357
336,gaiman,-43.2897,-65.4929,28.0,22,0,2.76,AR,1706667357
337,puerto baquerizo moreno,-0.9,-89.6,25.4,88,79,4.68,EC,1706667357
338,linxia chengguanzhen,35.6003,103.2064,-1.18,35,100,0.57,CN,1706667357
339,garcia,25.8167,-100.5833,17.15,63,100,2.63,MX,1706667358
340,balqash,46.8481,74.995,-9.67,92,100,6.0,KZ,1706667358
341,oyama,36.3,139.8,9.9,42,50,0.82,JP,1706667358
342,ad dabbah,18.05,30.95,13.29,37,50,5.18,SD,1706667358
343,eyl,7.9803,49.8164,23.35,76,50,4.67,SO,1706667358
344,vuktyl,63.8567,57.3094,-7.16,97,100,0.45,RU,1706667358
345,motygino,58.1831,94.7592,-30.68,99,6,1.79,RU,1706667359
346,castillos,-34.1667,-53.8333,18.18,85,0,2.55,UY,1706667359
347,moisei,47.6556,24.5401,-5.86,83,62,1.58,RO,1706667359
348,dapchi,12.4904,11.4944,18.09,22,0,5.0,NG,1706667359
349,broken hill,-31.95,141.4333,27.36,24,0,7.94,AU,1706667359
350,magdagachi,53.45,125.8,-23.09,82,100,2.09,RU,1706667359
351,basco,20.4487,121.9702,23.96,74,27,9.85,PH,1706667360
352,north nowra,-34.8581,150.5828,24.3,87,100,2.24,AU,1706667360
353,espiye,40.9479,38.7115,3.82,69,16,2.79,TR,1706667360
354,ulsteinvik,62.3432,5.8487,6.5,79,100,11.18,NO,1706667364
355,port-cartier,50.0334,-66.8654,-14.18,97,54,2.04,CA,1706667365
356,afif,23.9065,42.9172,12.47,28,10,1.92,SA,1706667365
357,gwio kura,12.6753,11.0682,17.86,20,0,5.16,NG,1706667365
358,yoichi,43.2039,140.7703,0.89,64,100,2.3,JP,1706667367
359,cartagena,10.3997,-75.5144,26.05,79,40,9.07,CO,1706667075
360,longboat key,27.4125,-82.659,15.02,80,0,2.06,US,1706667201
361,jamjamal,35.5365,44.8317,7.19,78,99,2.48,IQ,1706667368
